source,code_snippet,secret_span_start,secret_span_end,file_path,line_number,length,has_secret,hard_negative,entropy,rule
hard_negative,"fetch_by_hash(""NBN18x5N4tx6uSJ0cM"")",-1,-1,-1,-1,-1,0,1,3.795,fake_entropy
hard_negative,"fetch_by_hash(""id"")",-1,-1,-1,-1,-1,0,1,1.0,stopword
hard_negative,"log_request(""xv2/UOSSX3P3LQMlnIRJmfaQXZi+mj+H5LO6XpkI"")",-1,-1,-1,-1,-1,0,1,4.803,fake_entropy
hard_negative,"{ ""request_metadata"": { ""trace"": ""root"" } }",-1,-1,-1,-1,-1,0,1,1.5,default_credential
hard_negative,"trace_id = ""test123""",-1,-1,-1,-1,-1,0,1,2.522,default_credential
hard_negative,"fetch_by_hash(""fake"")",-1,-1,-1,-1,-1,0,1,2.0,placeholder
hard_negative,"fetch_by_hash(""test123"")",-1,-1,-1,-1,-1,0,1,2.522,default_credential
hard_negative,"trace_id = ""ec88289638930fbe8c9243c45c42771365d32fac""",-1,-1,-1,-1,-1,0,1,3.763,fake_entropy
hard_negative,"request_id = ""ZFUYOsA5hJqrHcxE43zaWU8NXcAeO1ScbimwQvFI""",-1,-1,-1,-1,-1,0,1,5.003,fake_entropy
hard_negative,"cache_key = ""fake""",-1,-1,-1,-1,-1,0,1,2.0,placeholder
hard_negative,"request_id = ""6387d9e2ed020010a742e649c4b15043""",-1,-1,-1,-1,-1,0,1,3.715,hash_or_id
hard_negative,"trace_id = ""activity""",-1,-1,-1,-1,-1,0,1,2.5,stopword
hard_negative,"request_id = ""REPLACE_ME""",-1,-1,-1,-1,-1,0,1,2.846,placeholder
hard_negative,"cache_key = ""password123""",-1,-1,-1,-1,-1,0,1,3.278,default_credential
hard_negative,"trace_id = ""TODO""",-1,-1,-1,-1,-1,0,1,1.5,placeholder
hard_negative,"{ ""request_metadata"": { ""trace"": ""KaAAEZxuzhJaYTaLviqsbm3waUi/NBHS"" } }",-1,-1,-1,-1,-1,0,1,4.625,fake_entropy
hard_negative,"trace_id = ""adapter""",-1,-1,-1,-1,-1,0,1,2.522,stopword
hard_negative,"trace_id = ""object_id""",-1,-1,-1,-1,-1,0,1,3.17,stopword
hard_negative,"fetch_by_hash(""f89d1330a33196bdcee348adaa2ece6f"")",-1,-1,-1,-1,-1,0,1,3.614,hash_or_id
hard_negative,"cache_key = ""css_class""",-1,-1,-1,-1,-1,0,1,2.059,stopword
hard_negative,"cache_key = ""ec4a5ee4d3c291bc79562464abaed9dd""",-1,-1,-1,-1,-1,0,1,3.554,hash_or_id
hard_negative,"{ ""request_metadata"": { ""trace"": ""8939617e982d072e67e9620c4cb33455"" } }",-1,-1,-1,-1,-1,0,1,3.695,hash_or_id
hard_negative,"get_user_by_id(""password123"")",-1,-1,-1,-1,-1,0,1,3.278,default_credential
hard_negative,"get_user_by_id(""3c6046785cf0cd014e8f4f173b71a359"")",-1,-1,-1,-1,-1,0,1,3.772,hash_or_id
hard_negative,"request_id = ""placeholder""",-1,-1,-1,-1,-1,0,1,3.096,placeholder
hard_negative,"log_request(""7edc9dccd4fe9284eb219c64ad8318a2339f9d4a9d6242ceed2338a3b0a"")",-1,-1,-1,-1,-1,0,1,3.703,fake_entropy
hard_negative,"fetch_by_hash(""salt"")",-1,-1,-1,-1,-1,0,1,2.0,stopword
hard_negative,"{ ""request_metadata"": { ""trace"": ""password123"" } }",-1,-1,-1,-1,-1,0,1,3.278,default_credential
hard_negative,"{ ""request_metadata"": { ""trace"": ""password123"" } }",-1,-1,-1,-1,-1,0,1,3.278,default_credential
hard_negative,"fetch_by_hash(""action"")",-1,-1,-1,-1,-1,0,1,2.585,stopword
hard_negative,"get_user_by_id(""password123"")",-1,-1,-1,-1,-1,0,1,3.278,default_credential
hard_negative,"get_user_by_id(""root"")",-1,-1,-1,-1,-1,0,1,1.5,default_credential
hard_negative,"cache_key = ""5ac17530fcf5f9d59688323aa30a5a5d""",-1,-1,-1,-1,-1,0,1,3.441,hash_or_id
hard_negative,"trace_id = ""test123""",-1,-1,-1,-1,-1,0,1,2.522,default_credential
hard_negative,"log_request(""8e6c54947b437574c6480c"")",-1,-1,-1,-1,-1,0,1,3.227,fake_entropy
hard_negative,"fetch_by_hash(""8d733a8a875781e61bf5d5277b115e82"")",-1,-1,-1,-1,-1,0,1,3.399,fake_entropy
hard_negative,"build: checksum: ""element_id""",-1,-1,-1,-1,-1,0,1,2.846,stopword
hard_negative,"fetch_by_hash(""REDACTED"")",-1,-1,-1,-1,-1,0,1,2.5,placeholder
hard_negative,"log_request(""checksum"")",-1,-1,-1,-1,-1,0,1,2.75,stopword
hard_negative,"{ ""request_metadata"": { ""trace"": ""564416881fbcc4d418eebaed643bbbf2"" } }",-1,-1,-1,-1,-1,0,1,3.493,hash_or_id
hard_negative,"{ ""request_metadata"": { ""trace"": ""mib2hIj3F6dBL6lt/EOBEP/o"" } }",-1,-1,-1,-1,-1,0,1,4.252,fake_entropy
hard_negative,"request_id = ""Xuiq+K+Pgej2vZqP2Pe5L31jHB6IifvA""",-1,-1,-1,-1,-1,0,1,4.414,fake_entropy
hard_negative,"cache_key = ""dummy""",-1,-1,-1,-1,-1,0,1,1.922,placeholder
hard_negative,"build: checksum: ""3115bfdb3db8018bc2eaca20faf92373""",-1,-1,-1,-1,-1,0,1,3.656,hash_or_id
hard_negative,"{ ""request_metadata"": { ""trace"": ""password123"" } }",-1,-1,-1,-1,-1,0,1,3.278,default_credential
hard_negative,"cache_key = ""03d5afbacf6e92ba0597e7632e6b731f""",-1,-1,-1,-1,-1,0,1,3.71,fake_entropy
hard_negative,"get_user_by_id(""Xx3DsPyZXoo633QSD3xA64DZ3ebHZUj2hjce3UNAUM25Xl3T1+"")",-1,-1,-1,-1,-1,0,1,4.59,fake_entropy
hard_negative,"request_id = ""3syWPRG2TSGIWR7RdC7Cj26Np7eVEe+I""",-1,-1,-1,-1,-1,0,1,4.328,fake_entropy
hard_negative,"{ ""request_metadata"": { ""trace"": ""dummy"" } }",-1,-1,-1,-1,-1,0,1,1.922,placeholder
hard_negative,"log_request(""fake"")",-1,-1,-1,-1,-1,0,1,2.0,placeholder
hard_negative,"fetch_by_hash(""object_id"")",-1,-1,-1,-1,-1,0,1,3.17,stopword
hard_negative,"get_user_by_id(""REDACTED"")",-1,-1,-1,-1,-1,0,1,2.5,placeholder
hard_negative,"request_id = ""mock""",-1,-1,-1,-1,-1,0,1,2.0,placeholder
hard_negative,"trace_id = ""uuid""",-1,-1,-1,-1,-1,0,1,1.5,stopword
hard_negative,"{ ""request_metadata"": { ""trace"": ""password123"" } }",-1,-1,-1,-1,-1,0,1,3.278,default_credential
hard_negative,"log_request(""di+j0Xgo1PBgFNt+l96K7WtCkMPdRJj7YQ01W0G45k5C"")",-1,-1,-1,-1,-1,0,1,4.806,fake_entropy
hard_negative,"request_id = ""your_key_here""",-1,-1,-1,-1,-1,0,1,2.873,placeholder
hard_negative,"get_user_by_id(""commit_sha"")",-1,-1,-1,-1,-1,0,1,3.122,stopword
hard_negative,"cache_key = ""020c624971cb712402685d2ed552c13a""",-1,-1,-1,-1,-1,0,1,3.671,hash_or_id
hard_negative,"cache_key = ""mock""",-1,-1,-1,-1,-1,0,1,2.0,placeholder
hard_negative,"trace_id = ""452ff0be8f04ea441b64e6bc752aa3b50""",-1,-1,-1,-1,-1,0,1,3.609,fake_entropy
hard_negative,"fetch_by_hash(""nonce"")",-1,-1,-1,-1,-1,0,1,1.922,stopword
hard_negative,"request_id = ""sha256""",-1,-1,-1,-1,-1,0,1,2.585,stopword
hard_negative,"get_user_by_id(""root"")",-1,-1,-1,-1,-1,0,1,1.5,default_credential
hard_negative,"build: checksum: ""admin123""",-1,-1,-1,-1,-1,0,1,3.0,default_credential
hard_negative,"log_request(""e89932cbf0c61636000aeac137f05c6f"")",-1,-1,-1,-1,-1,0,1,3.59,hash_or_id
hard_negative,"trace_id = ""test123""",-1,-1,-1,-1,-1,0,1,2.522,default_credential
hard_negative,"cache_key = ""95f3e9d9fd546dce60a714f3ec998a63""",-1,-1,-1,-1,-1,0,1,3.644,hash_or_id
hard_negative,"{ ""request_metadata"": { ""trace"": ""57f67d3a42ed6d2dedf5dfc04707ba72"" } }",-1,-1,-1,-1,-1,0,1,3.48,hash_or_id
hard_negative,"log_request(""password123"")",-1,-1,-1,-1,-1,0,1,3.278,default_credential
hard_negative,"{ ""request_metadata"": { ""trace"": ""TODO"" } }",-1,-1,-1,-1,-1,0,1,1.5,placeholder
hard_negative,"trace_id = ""TODO""",-1,-1,-1,-1,-1,0,1,1.5,placeholder
hard_negative,"request_id = ""37caec36fac0fdca0a4b619e061271b6""",-1,-1,-1,-1,-1,0,1,3.64,hash_or_id
hard_negative,"{ ""request_metadata"": { ""trace"": ""admin"" } }",-1,-1,-1,-1,-1,0,1,2.322,stopword
hard_negative,"trace_id = ""014df517-39d1-4453-b7b3-9930c563627c""",-1,-1,-1,-1,-1,0,1,3.687,stopword
hard_negative,"log_request(""test123"")",-1,-1,-1,-1,-1,0,1,2.522,default_credential
hard_negative,"request_id = ""test""",-1,-1,-1,-1,-1,0,1,1.5,placeholder
hard_negative,"get_user_by_id(""TODO"")",-1,-1,-1,-1,-1,0,1,1.5,placeholder
